"key","value","date"
"afghan",1,"01/01/09"
"afghan",1,"03/01/09"
"afghan",1,"04/01/09"
"afghan",1,"05/01/09"
"afghan",23,"06/01/09"
"afghan",166,"07/01/09"
"afghan",1,"08/01/09"
"afghan",147,"09/01/09"
"afghan",166,"10/01/09"
"afghan",63,"11/01/09"
"afghan",2,"12/01/09"
"afghan",1,"01/01/10"
"afghan",166,"02/01/10"
"afghan",203,"03/01/10"
"afghan",2,"04/01/10"
"afghan",211,"05/01/10"
"afghan",148,"06/01/10"
"afghan",142,"07/01/10"
"afghan",197,"08/01/10"
"afghan",182,"09/01/10"
"afghan",205,"10/01/10"
"afghan",44,"11/01/10"
"afghan",63,"12/01/10"
"afghan",1,"01/01/11"
"afghan",2,"03/01/11"
"afghan",1,"04/01/11"
"afghan",1,"05/01/11"
"afghan",1,"06/01/11"
"afghan",1,"08/01/11"
"afghan",1,"09/01/11"
"afghan",1,"01/01/12"
"afghan",1,"02/01/12"
"afghan",1,"03/01/12"
"afghan",1,"04/01/12"
"afghan",1,"07/01/12"
"afghan",1,"08/01/12"
"afghan",2,"09/01/12"
"afghan",205,"10/01/12"
"afghan",1,"11/01/12"
"afghan",1,"12/01/12"
"afghan",1,"12/01/14"
"afghanistan",1,"01/01/09"
"afghanistan",1,"03/01/09"
"afghanistan",1,"04/01/09"
"afghanistan",1,"05/01/09"
"afghanistan",23,"06/01/09"
"afghanistan",166,"07/01/09"
"afghanistan",1,"08/01/09"
"afghanistan",147,"09/01/09"
"afghanistan",166,"10/01/09"
"afghanistan",63,"11/01/09"
"afghanistan",2,"12/01/09"
"afghanistan",1,"01/01/10"
"afghanistan",166,"02/01/10"
"afghanistan",203,"03/01/10"
"afghanistan",2,"04/01/10"
"afghanistan",211,"05/01/10"
"afghanistan",148,"06/01/10"
"afghanistan",142,"07/01/10"
"afghanistan",197,"08/01/10"
"afghanistan",182,"09/01/10"
"afghanistan",205,"10/01/10"
"afghanistan",44,"11/01/10"
"afghanistan",63,"12/01/10"
"afghanistan",1,"01/01/11"
"afghanistan",2,"03/01/11"
"afghanistan",1,"04/01/11"
"afghanistan",1,"05/01/11"
"afghanistan",1,"06/01/11"
"afghanistan",1,"08/01/11"
"afghanistan",1,"09/01/11"
"afghanistan",1,"01/01/12"
"afghanistan",1,"02/01/12"
"afghanistan",1,"03/01/12"
"afghanistan",1,"04/01/12"
"afghanistan",1,"07/01/12"
"afghanistan",1,"08/01/12"
"afghanistan",2,"09/01/12"
"afghanistan",205,"10/01/12"
"afghanistan",1,"11/01/12"
"afghanistan",1,"12/01/12"
"afghanistan",1,"12/01/14"
"israel",1,"01/01/09"
"israel",1,"03/01/09"
"israel",1,"04/01/09"
"israel",1,"05/01/09"
"israel",23,"06/01/09"
"israel",166,"07/01/09"
"israel",1,"08/01/09"
"israel",147,"09/01/09"
"israel",166,"10/01/09"
"israel",63,"11/01/09"
"israel",2,"12/01/09"
"israel",1,"01/01/10"
"israel",166,"02/01/10"
"israel",203,"03/01/10"
"israel",2,"04/01/10"
"israel",211,"05/01/10"
"israel",148,"06/01/10"
"israel",142,"07/01/10"
"israel",197,"08/01/10"
"israel",182,"09/01/10"
"israel",205,"10/01/10"
"israel",44,"11/01/10"
"israel",63,"12/01/10"
"israel",1,"01/01/11"
"israel",2,"03/01/11"
"israel",1,"04/01/11"
"israel",1,"05/01/11"
"israel",1,"06/01/11"
"israel",1,"08/01/11"
"israel",1,"09/01/11"
"israel",1,"01/01/12"
"israel",1,"02/01/12"
"israel",1,"03/01/12"
"israel",1,"04/01/12"
"israel",1,"07/01/12"
"israel",1,"08/01/12"
"israel",2,"09/01/12"
"israel",205,"10/01/12"
"israel",1,"11/01/12"
"israel",1,"12/01/12"
"israel",1,"12/01/14"
"israeli",1,"01/01/09"
"israeli",1,"03/01/09"
"israeli",1,"04/01/09"
"israeli",1,"05/01/09"
"israeli",23,"06/01/09"
"israeli",166,"07/01/09"
"israeli",1,"08/01/09"
"israeli",147,"09/01/09"
"israeli",166,"10/01/09"
"israeli",63,"11/01/09"
"israeli",2,"12/01/09"
"israeli",1,"01/01/10"
"israeli",166,"02/01/10"
"israeli",203,"03/01/10"
"israeli",2,"04/01/10"
"israeli",211,"05/01/10"
"israeli",148,"06/01/10"
"israeli",142,"07/01/10"
"israeli",197,"08/01/10"
"israeli",182,"09/01/10"
"israeli",205,"10/01/10"
"israeli",44,"11/01/10"
"israeli",63,"12/01/10"
"israeli",1,"01/01/11"
"israeli",2,"03/01/11"
"israeli",1,"04/01/11"
"israeli",1,"05/01/11"
"israeli",1,"06/01/11"
"israeli",1,"08/01/11"
"israeli",1,"09/01/11"
"israeli",1,"01/01/12"
"israeli",1,"02/01/12"
"israeli",1,"03/01/12"
"israeli",1,"04/01/12"
"israeli",1,"07/01/12"
"israeli",1,"08/01/12"
"israeli",2,"09/01/12"
"israeli",205,"10/01/12"
"israeli",1,"11/01/12"
"israeli",1,"12/01/12"
"israeli",1,"12/01/14"
"military",1,"01/01/09"
"military",1,"03/01/09"
"military",1,"04/01/09"
"military",1,"05/01/09"
"military",23,"06/01/09"
"military",166,"07/01/09"
"military",1,"08/01/09"
"military",147,"09/01/09"
"military",166,"10/01/09"
"military",63,"11/01/09"
"military",2,"12/01/09"
"military",1,"01/01/10"
"military",166,"02/01/10"
"military",203,"03/01/10"
"military",2,"04/01/10"
"military",211,"05/01/10"
"military",148,"06/01/10"
"military",142,"07/01/10"
"military",197,"08/01/10"
"military",182,"09/01/10"
"military",205,"10/01/10"
"military",44,"11/01/10"
"military",63,"12/01/10"
"military",1,"01/01/11"
"military",2,"03/01/11"
"military",1,"04/01/11"
"military",1,"05/01/11"
"military",1,"06/01/11"
"military",1,"08/01/11"
"military",1,"09/01/11"
"military",1,"01/01/12"
"military",1,"02/01/12"
"military",1,"03/01/12"
"military",1,"04/01/12"
"military",1,"07/01/12"
"military",1,"08/01/12"
"military",2,"09/01/12"
"military",205,"10/01/12"
"military",1,"11/01/12"
"military",1,"12/01/12"
"military",1,"12/01/14"
"obama",1,"01/01/09"
"obama",166,"03/01/09"
"obama",52,"04/01/09"
"obama",113,"05/01/09"
"obama",201,"06/01/09"
"obama",159,"07/01/09"
"obama",13,"08/01/09"
"obama",189,"09/01/09"
"obama",157,"10/01/09"
"obama",67,"11/01/09"
"obama",21,"12/01/09"
"obama",199,"01/01/10"
"obama",19,"02/01/10"
"obama",66,"03/01/10"
"obama",119,"04/01/10"
"obama",50,"05/01/10"
"obama",231,"06/01/10"
"obama",16,"07/01/10"
"obama",155,"08/01/10"
"obama",60,"09/01/10"
"obama",217,"10/01/10"
"obama",4,"11/01/10"
"obama",209,"12/01/10"
"obama",1,"01/01/11"
"obama",147,"03/01/11"
"obama",1,"04/01/11"
"obama",1,"05/01/11"
"obama",1,"06/01/11"
"obama",1,"08/01/11"
"obama",1,"09/01/11"
"obama",1,"01/01/12"
"obama",1,"02/01/12"
"obama",1,"03/01/12"
"obama",2,"04/01/12"
"obama",1,"07/01/12"
"obama",1,"08/01/12"
"obama",34,"09/01/12"
"obama",142,"10/01/12"
"obama",23,"11/01/12"
"obama",2,"12/01/12"
"obama",1,"12/01/14"
"peace",1,"01/01/09"
"peace",1,"03/01/09"
"peace",1,"04/01/09"
"peace",1,"05/01/09"
"peace",23,"06/01/09"
"peace",166,"07/01/09"
"peace",1,"08/01/09"
"peace",147,"09/01/09"
"peace",166,"10/01/09"
"peace",63,"11/01/09"
"peace",2,"12/01/09"
"peace",1,"01/01/10"
"peace",166,"02/01/10"
"peace",203,"03/01/10"
"peace",2,"04/01/10"
"peace",211,"05/01/10"
"peace",148,"06/01/10"
"peace",142,"07/01/10"
"peace",197,"08/01/10"
"peace",182,"09/01/10"
"peace",205,"10/01/10"
"peace",44,"11/01/10"
"peace",63,"12/01/10"
"peace",1,"01/01/11"
"peace",2,"03/01/11"
"peace",1,"04/01/11"
"peace",1,"05/01/11"
"peace",1,"06/01/11"
"peace",1,"08/01/11"
"peace",1,"09/01/11"
"peace",1,"01/01/12"
"peace",1,"02/01/12"
"peace",1,"03/01/12"
"peace",1,"04/01/12"
"peace",1,"07/01/12"
"peace",1,"08/01/12"
"peace",2,"09/01/12"
"peace",205,"10/01/12"
"peace",1,"11/01/12"
"peace",1,"12/01/12"
"peace",1,"12/01/14"
"president",1,"01/01/09"
"president",194,"03/01/09"
"president",148,"04/01/09"
"president",171,"05/01/09"
"president",222,"06/01/09"
"president",163,"07/01/09"
"president",152,"08/01/09"
"president",206,"09/01/09"
"president",181,"10/01/09"
"president",95,"11/01/09"
"president",32,"12/01/09"
"president",11,"01/01/10"
"president",70,"02/01/10"
"president",133,"03/01/10"
"president",176,"04/01/10"
"president",115,"05/01/10"
"president",42,"06/01/10"
"president",64,"07/01/10"
"president",175,"08/01/10"
"president",141,"09/01/10"
"president",38,"10/01/10"
"president",62,"11/01/10"
"president",233,"12/01/10"
"president",1,"01/01/11"
"president",147,"03/01/11"
"president",1,"04/01/11"
"president",1,"05/01/11"
"president",1,"06/01/11"
"president",1,"08/01/11"
"president",1,"09/01/11"
"president",1,"01/01/12"
"president",1,"02/01/12"
"president",1,"03/01/12"
"president",2,"04/01/12"
"president",1,"07/01/12"
"president",1,"08/01/12"
"president",153,"09/01/12"
"president",144,"10/01/12"
"president",44,"11/01/12"
"president",147,"12/01/12"
"president",1,"12/01/14"
"security",1,"01/01/09"
"security",1,"03/01/09"
"security",1,"04/01/09"
"security",1,"05/01/09"
"security",23,"06/01/09"
"security",166,"07/01/09"
"security",1,"08/01/09"
"security",147,"09/01/09"
"security",166,"10/01/09"
"security",63,"11/01/09"
"security",2,"12/01/09"
"security",1,"01/01/10"
"security",166,"02/01/10"
"security",203,"03/01/10"
"security",2,"04/01/10"
"security",211,"05/01/10"
"security",148,"06/01/10"
"security",142,"07/01/10"
"security",197,"08/01/10"
"security",182,"09/01/10"
"security",205,"10/01/10"
"security",44,"11/01/10"
"security",63,"12/01/10"
"security",1,"01/01/11"
"security",2,"03/01/11"
"security",1,"04/01/11"
"security",1,"05/01/11"
"security",1,"06/01/11"
"security",1,"08/01/11"
"security",1,"09/01/11"
"security",1,"01/01/12"
"security",1,"02/01/12"
"security",1,"03/01/12"
"security",1,"04/01/12"
"security",1,"07/01/12"
"security",1,"08/01/12"
"security",2,"09/01/12"
"security",205,"10/01/12"
"security",1,"11/01/12"
"security",1,"12/01/12"
"security",1,"12/01/14"
